t,x,y
0.000000,10.000000,5.000000
0.010000,9.848968,5.087312
0.020000,9.695993,5.174181
0.030000,9.541262,5.260510
0.040000,9.384962,5.346201
0.050000,9.227286,5.431154
0.060000,9.068424,5.515275
0.070000,8.908570,5.598468
0.080000,8.747916,5.680639
0.090000,8.586655,5.761697
0.100000,8.424976,5.841553
0.110000,8.263067,5.920120
0.120000,8.101115,5.997316
0.130000,7.939300,6.073059
0.140000,7.777801,6.147274
0.150000,7.616790,6.219888
0.160000,7.456436,6.290831
0.170000,7.296900,6.360040
0.180000,7.138339,6.427454
0.190000,6.980902,6.493017
0.200000,6.824732,6.556678
0.210000,6.669965,6.618390
0.220000,6.516729,6.678111
0.230000,6.365144,6.735804
0.240000,6.215324,6.791436
0.250000,6.067375,6.844979
0.260000,5.921392,6.896410
0.270000,5.777468,6.945709
0.280000,5.635682,6.992863
0.290000,5.496109,7.037861
0.300000,5.358816,7.080698
0.310000,5.223862,7.121372
0.320000,5.091299,7.159884
0.330000,4.961171,7.196242
0.340000,4.833516,7.230453
0.350000,4.708365,7.262532
0.360000,4.585744,7.292494
0.370000,4.465670,7.320359
0.380000,4.348158,7.346148
0.390000,4.233213,7.369887
0.400000,4.120839,7.391601
0.410000,4.011032,7.411321
0.420000,3.903786,7.429077
0.430000,3.799088,7.444903
0.440000,3.696923,7.458835
0.450000,3.597272,7.470907
0.460000,3.500112,7.481158
0.470000,3.405416,7.489627
0.480000,3.313157,7.496354
0.490000,3.223303,7.501379
0.500000,3.135819,7.504743
0.510000,3.050672,7.506489
0.520000,2.967822,7.506659
0.530000,2.887230,7.505296
0.540000,2.808857,7.502442
0.550000,2.732661,7.498140
0.560000,2.658597,7.492433
0.570000,2.586624,7.485364
0.580000,2.516697,7.476976
0.590000,2.448770,7.467310
0.600000,2.382800,7.456409
0.610000,2.318740,7.444313
0.620000,2.256545,7.431065
0.630000,2.196170,7.416703
0.640000,2.137570,7.401269
0.650000,2.080700,7.384801
0.660000,2.025514,7.367338
0.670000,1.971969,7.348917
0.680000,1.920020,7.329575
0.690000,1.869625,7.309350
0.700000,1.820741,7.288275
0.710000,1.773326,7.266387
0.720000,1.727337,7.243719
0.730000,1.682736,7.220304
0.740000,1.639480,7.196174
0.750000,1.597532,7.171362
0.760000,1.556853,7.145897
0.770000,1.517406,7.119809
0.780000,1.479153,7.093127
0.790000,1.442059,7.065880
0.800000,1.406089,7.038095
0.810000,1.371208,7.009798
0.820000,1.337383,6.981016
0.830000,1.304582,6.951773
0.840000,1.272773,6.922093
0.850000,1.241925,6.892000
0.860000,1.212008,6.861517
0.870000,1.182993,6.830666
0.880000,1.154852,6.799467
0.890000,1.127557,6.767942
0.900000,1.101082,6.736111
0.910000,1.075400,6.703992
0.920000,1.050487,6.671605
0.930000,1.026318,6.638966
0.940000,1.002869,6.606094
0.950000,0.980117,6.573005
0.960000,0.958041,6.539716
0.970000,0.936618,6.506241
0.980000,0.915827,6.472596
0.990000,0.895650,6.438796
1.000000,0.876065,6.404854
1.010000,0.857054,6.370783
1.020000,0.838599,6.336597
1.030000,0.820682,6.302307
1.040000,0.803285,6.267927
1.050000,0.786393,6.233467
1.060000,0.769988,6.198938
1.070000,0.754056,6.164352
1.080000,0.738582,6.129718
1.090000,0.723550,6.095046
1.100000,0.708947,6.060345
1.110000,0.694760,6.025626
1.120000,0.680975,5.990896
1.130000,0.667579,5.956163
1.140000,0.654560,5.921437
1.150000,0.641907,5.886724
1.160000,0.629607,5.852032
1.170000,0.617650,5.817368
1.180000,0.606026,5.782739
1.190000,0.594723,5.748152
1.200000,0.583731,5.713612
1.210000,0.573042,5.679126
1.220000,0.562645,5.644699
1.230000,0.552532,5.610337
1.240000,0.542694,5.576045
1.250000,0.533123,5.541828
1.260000,0.523809,5.507691
1.270000,0.514746,5.473639
1.280000,0.505926,5.439676
1.290000,0.497342,5.405806
1.300000,0.488985,5.372033
1.310000,0.480851,5.338361
1.320000,0.472931,5.304793
1.330000,0.465219,5.271334
1.340000,0.457710,5.237986
1.350000,0.450397,5.204753
1.360000,0.443274,5.171637
1.370000,0.436336,5.138641
1.380000,0.429577,5.105769
1.390000,0.422992,5.073022
1.400000,0.416577,5.040404
